id,entry,lifeStats,sort
RuMbPteW8P,AI4aoP3n0qPz,"(NfHmsl5GYS , RGykCRZmt5)",jWGD0Pp00T
ksiRa5Pwrh,AJtSmBBiCIkT,"(OKrobFfu5C , FfJRKBwIPx)",6GIZWut8b3
B1LiDenj41,AJhl7WVhI7tt,"(shnoMuc9g7 , MMhT3RxVyQ)",5EPXqYF6md
EENh4Hb0MB,AJOHqa24JJIm,"(5ia7DRRP6Z , WKWWRKMWNA)",0ZlVTmfRFg
Y7qBoPlolz,AJlCIN0hhxw0,"(8WlUMwg40f , TEWYGTDS4P)",5uppgKRArq
TaRqmjEZ2F,AJnCJRJu2fWO,"(3xXpkf7rpi , ZYrH3iez3I)",3P7YK77CyH
6nabXqrXXd,AJpaeWsOtI8j,"(tNRlQZGLXW , WZU1sSM15B)",gaO1ReJW7Q
F0gfGmL7aM,AJCPMa7pGfRq,"(mu4tYAQGMl , cbF8Tpb9Rx)",hhgBQTrLlk
LOke0d4xby,AJbmkJhIKfpl,"(u9jLwvyNQ5 , IbRMEVk8JQ)",rYjV98u1GS
6nhfSCqczW,AJxIUUjyOz6r,"(MtTyq5IHpU , adbHTcEUcj)",aOODcHTMgC
Xg5pLk743C,AJV1EGg2kenu,"(NUEkCPN4vy , 0ech5t4j4O)",gJLXk4TVnz
Hz0IcCDIMz,AKlEXqN3b6ed,"(xXMoCbH25n , iTRjNqNhIL)",hgfG3LlYuC
XF1tdr4OWi,AKJqGKBQowgN,"(2R6XobmLlL , ZEaKEeQNUV)",pqWT9JP3j6
FD8FSexGfX,AKuOiJFApLVy,"(D6lOtzWT6S , SMRQDbBi7J)",prXRxA8Pec
wR2qpxnKX9,AKYhuFtPyRE4,"(SpDrjJbqwE , zOnRcFuptt)",xN526px7WC
iD3pkLBKjv,AKUpRLZMm51Y,"(MHUy1K08xA , wEpyepAnJh)",gKBb8MQZys
Dx9QGO45Jx,AKmCUhpy5bnJ,"(to75Px6egt , fXHEggZfeu)",iblYpJDVhI
JVD7Wk74C3,AKzfWbWEXMoP,"(QqcffawQ6u , gWsPQlPDnK)",U3VinhQoEh
wcL2Z0tIee,AKiQFYNsO51f,"(N97ro8wjyZ , gx9NZC3Wsq)",FFpQZVTuVQ
OxZBvqNJLI,AKrwux5qMXcD,"(rjRb7uAx4y , yCR5o2YqoP)",l6ZDGGe7PC
1b7v6tnwLq,AK7Akjo1Bl7H,"(Dlz6fQ6NCT , Ekt3okKu5h)",dkGC3BL8Og
hbl3mCuxDP,ALERJuQJh8qM,"(UMFkfz8iH4 , tO0Wb6Dren)",IsMpQ0EvGM
aQrDFMOYGG,AL7ucElPdLXv,"(g3bss9n94U , FVNeuZDOD5)",rjBFVocWVX
pbXpU1zJwn,ALn2Q2Z8t07P,"(qxVuHNL1VW , l1HQ5yUILO)",rXozIWIMfQ
xSKSILyBp6,ALcfOWB3aZGk,"(FhBEeZsYko , A6Rj4LW0bO)",HHoa0DUmQb
MhEfhapeC1,ALNaQNdOANwZ,"(8ZvfYBXaoC , Qy1pZqj3NP)",2u1WgSM0nM
ZRDk702Ik2,ALsKtMHLCWG8,"(Ptd1UkAhih , 8swWu2jdv1)",shgoQWTx3n
DSSgh1NQoQ,AL5N3Oq3EESz,"(LwPH2MreQC , bvQjwNLesC)",GStoSkCw6U
k4oEeSX2sy,ALtxWdcIwElm,"(8bimhiV2nH , jGtWVIdefN)",OYQkp9wjHZ
DBaaWrgsFP,AL5Fhn3u44mT,"(ANQBu9i6ke , 49rbFM02S0)",jvaoboTw0E
oFnDdQ9bv6,ALTYgCfoodPm,"(ShbugX5vyQ , 8JomGcLwBb)",CuVmeQiciL
aVPphsHw2A,AMBEl4LgQsEW,"(wuCOFTE2VW , PKE9y1vDke)",dpPcEoCE9v
cy2G2E0Y46,AMxcyFlF98H2,"(J9qdwBwuSj , XyuW7AtyzF)",J6WavTFeXG
760uo7LgC5,AMJT8noKuQxi,"(MaKb4dYwPp , MNdxc7LVPb)",wO8WUykFYW
xKAm9YUDN0,AM2xQfgYnPS1,"(2cMR4lpNds , 99UJGkagIQ)",lERjhVG2m0
BERQlLzp4y,AM5kkXecjHuS,"(PzXw1uVN37 , ZzyJuxh5Gt)",pL4MQ2K7JI
GIieKLQKdv,AMGIhoqBKup0,"(lX3zxwzs0g , bMnSStn29x)",pyABaNyhKW
VFOQdtaQcW,AM5oKWVA4PYH,"(xOaqXczv0a , okkWQzUwZJ)",hWU6wmxWIK
tfh3NNkOzD,AMSF4B35fmIQ,"(LeUeiKYTac , xKVFRV0SAX)",cWyGA8RGLI
uq14Zm6Pfu,AMgwogAGnaWB,"(2cjmHFVMqb , tdLKAk2pxm)",dlw2c2OPJx
fbC9q5Dam9,AMNKVFVXKrRi,"(M79zc4YavR , GECSm9XP3U)",hQMgAMcSG6
TleoslzfSC,ANoGGr9UFFLQ,"(TPOHDlgleb , qnK3zNagz5)",WGNpKgWYZH
bVNmLnNt3Q,ANi2SxGRSKQG,"(L5MmY3o5Uc , BqNWmhlsYQ)",CTzYeiuC4u
Wp5PB4buzx,ANN0rSXkdWc2,"(17AGztB4gD , SYmgDODU6U)",mgYilyWRgZ
4YhQdxmEWj,ANhPRXwhUFCL,"(3DyQgyLbG6 , UIaZwpFzci)",1Nv01HJzC1
5Ana9xvHkA,ANcp5H736nWE,"(5lcwwrmLgB , YBpz4HMaef)",TdTxpDLNAN
plXPkmGZ7H,ANSDL6ihGC7w,"(dAUKdlhUGP , qWU5asiyrJ)",ymllR3y3XZ
txuwxyjV72,ANgelKBXn0fH,"(qDhXs0uZoO , CmK9g36XpU)",bDHOyWN0ds
VaHqkozAY2,ANR0tyoVgKbF,"(mvfxbMm45B , tWJnTCREzr)",JLCgc47uZW
UnDsng2TCK,ANZZYtxZh24Z,"(yBWUN6xaaJ , qwrY5F5g5M)",WjVkLqG9mh
KKzgrIJJZd,ANbAEL7lZA9q,"(wdq08k02SK , 8nndgUKTVJ)",odNnlIMj5h
ECh4fziRxv,AOrm55Nva66v,"(Pzto51YJ5w , prK0h7ylOG)",tEBhYYEu6r
p8hR2hLeXu,AOmDF9GllbAe,"(cCIkBYQ9N2 , rOpoNxM3R0)",xCKHVFr42c
k57CJBdl1I,AOG4UCfDsTCh,"(vBO5Da0dsr , 9PfvKZB0Xb)",RE9Jo9qHN9
AWt0IlldlV,AO7REZQ7K1bI,"(WIO0G5wWsV , c73RWKz3sk)",PUVPjEYnGt
3D4AtURPnK,AOaV1AnXuNYR,"(vOx1l8YHEa , 2tZsRrNr3U)",C61vEHsOda
yBTeZrtXUN,AOeLFtEB8QyL,"(f2Ohl5tEvN , TbFmmDtOyg)",Gxv7ZXFsAN
uVyLNdJMzl,AOT655nD2GVY,"(HkyLcZrloM , O886fDZJ4V)",TCV8wjdXjz
skH43CnBF9,AOXLLdCb6AbT,"(S4fV5njcWF , sb97U333y5)",bP92mUY8uj
nbApdWQWfv,AONQdDLAibPJ,"(8MqPdVuzha , h4I5WW6ui1)",IcJrjzmhYp
oBWh3qpXMM,AOwshwCaavUU,"(Qt7OyEU9eF , 19vIAZGIW7)",A3FirohvIF
sXMRlR73Wt,APGXFmpJIpTj,"(K9M5HHm6pm , 92SrHCGTpO)",G3NLhwb0Oi
xKO9GXSTG2,APeiAkQVLV65,"(QnRIvN9KQ9 , pG0BbS5iWb)",fFmZNWujRy
exuO7WNN84,APAawz7i2MTP,"(PLzLdtQb8P , wz1ltgamr8)",Gyl0Fpyh1U
xAzyZ5YQwY,APKnAbDOGomz,"(rBNQjt4reZ , fMCzUi4sjz)",4gI4RwlMLh
ttO5Sn5pN3,APlyzuPFjAW9,"(SSrL4Koh7O , PIdgrfSqBo)",AJqtjH9Rcf
6VWdxnL38S,APcQAffnnaI0,"(xUpGCqH08o , kkn8drYAF5)",cFsA132IRA
b6YPvaFvDv,APi0IGOfCJSk,"(fCQNrcjk09 , qsV7uWWkH2)",YBeyTn5VJa
D63zVHjYWd,APGDkEqKqxNf,"(CwXWuZOXw4 , HCRSOx0JYG)",c6QIkjUq6o
ETaEzbH1Mz,APQJjt7Zku1I,"(cQQn0gjdPD , XykLqoraPR)",4QTKwYYJmT
dpLoHMJdpY,APkkNnwOZHD6,"(MwN6v3NQhK , ix6z1W9Mi2)",eGOpwtdimW
rFAqnqneTV,AQDZweN69nLI,"(axKTbmmEAx , VHhERE1oar)",5Qk90ITcBT
EQsM4hDaNO,AQxHbuCRuS29,"(hRUEKoDV1F , 23WQtWOLqe)",XMdKaPA0b4
dBZQylr5Jw,AQ8YblsESaiT,"(GtSgJOAxhW , LDCqaEFTq6)",lOHviOmmgz
KtwAJ8CYBD,AQ9A6zclW1Se,"(mEFw7O7FVF , lQwXlTmCmq)",iBRnc50I48
6uiXyDQMQF,AQsA1pjQWGma,"(BW4xCTKof8 , R6nKN4QnBz)",NwimWXPBg4
uiWUjwbj1H,AQZNGvJP6avY,"(HQeFXrtINT , P5vdpkqwdc)",QbIUcBfCay
e5i6N9bS5F,AQOQscUr7JW0,"(GXqz7lBOvz , 0CNsJsC08V)",EAydop051f
aVPDGe97GS,AQ2wLC4kciOd,"(g3wmyS5pZ2 , rS49vRCuLd)",mFuXnRTlhJ
yERJvq4vLU,AQCSxPT5qsAG,"(JkHv9DcOje , BjfPYlttAh)",ox6rz6PeOX
IZMWFpi9Pz,AQcUbkxgUpYk,"(7jD7Vp4fgv , Gbpenr5t8M)",LC8c9SdZ7m
9dMYhaW5cF,ARknRd6FWg24,"(1kyZaK4BZq , FX2S6dQL8E)",FsqcMV2SO5
p90T5Xs6bv,ARU3p0MAEGoD,"(bXDvo7sEqU , FQRnUXfGBs)",Hub6aa6M5u
zuEo7Bcygv,AR8tKcmxE6cS,"(mcEycO4ogP , XoEyhtR6l4)",4VyoHgmrU7
SaGz1yQq4c,ARqOsMR0HAsc,"(oc44dgP0nY , DUhcgilb8t)",sIedjGmzvq
m82l2cd1nF,ARcZFXqeT61P,"(p9IU5GJb1F , yj11meB1OJ)",jSohyEEN9P
9NdCBtHGcD,ARXythDuMVXt,"(G7fnW0mgLd , H6BNCqJQYX)",YH8CphnkaC
xl6v8pIIVg,ARedSWshYcPy,"(3xWWNV1RJT , V53KiZjR0v)",c1333Vs1S8
M2nZc4LOXB,ARL2MAGQsEWf,"(L3h2t4JY3r , PYb2yBmMJW)",txel1y3zEW
9HHGo3OMeB,ARI6wxJmOzDE,"(qaqRfKeDu8 , pASFLX26rh)",s1FEasdOIf
atZmgUS3H7,ARmGuPF5V3Ol,"(YGdGIFfNtc , 3sdPXUbwbJ)",WG3yWUqro2
mGZHj7Dnir,ASdTghlcajX2,"(NtmxiNQWwr , 7OIYt7G2P9)",zMUWCYwuNq
n90yf21cDd,ASCs4SPAupSV,"(Zs54ulOprL , 9wtihKlf20)",A0UKYAab25
K5Yk9Ywx7o,ASpwZPGmEQrr,"(O1hVQ3g4bo , wCxtTocXGm)",djV1zTHWqj
dxZNjNi7zk,ASRFoYueMUKA,"(BiKqmmMxRw , mWqkV40rOl)",P1oOVj4kLL
ZDqDJgFhcV,ASaYHnVHp8gw,"(t59HxC8KPD , Dkl2TpTSYl)",Bv9cEJdWIv
88xdz7SjfX,ASxoH3liBtWB,"(2vh94HFUjk , t0004bAMM1)",4bIcwdhfCt
0AXf4ovGL9,ASi9GNaSZITq,"(1qiInqMfzb , MgSgxVIA06)",GistMCJqwg
USICLWWgKl,ASQiH1e4BOBg,"(A4hXCICT10 , c01Qcwb4XZ)",vu7sHsHawJ
TxYjC7CEt6,ASZUFDdYeuYi,"(fQ9SyfRPKz , CVMa6e7P5s)",pbFVQu4Mai
UbR8Diy5On,ASYTWK3OR3rJ,"(zr9a0B5Oru , o0gXNb1kAC)",7HkOehVa17
AwiUxzTyjh,ATMMU9L4pAtp,"(hLl6oxB1KV , ZW8g76Mqbj)",TOeFgJ0H2N
7Rp2DI84vd,ATSQa9YR7GL8,"(TtoN0OzL5B , 2JXP3caQVV)",MSOWuVODO2
neZOmApvy2,AT9jw6YrJqF2,"(BVSbY2Xihj , P8FGjv7z8i)",uB3LOY51O7
YqXeZaiy9Z,ATuUJV83jnpe,"(bJMJONITgX , rgNjb9LnZq)",40bT5Lca0b
peOGne6xis,AT7IqJUKwM8V,"(Zqwrf09ulp , MqfbB03lKE)",wiScD2IDaB
TYsnTzqx2Q,ATs7Mj2WxFUA,"(jgUpNQ3El4 , AfSLOX8uhE)",EwUIm4HJFS
MlOdm35yaG,ATmXfnX2xBoL,"(AzokxyApnm , 81IuLoUziI)",sc9gmpVp6K
YeAIJkapA2,ATCQ7JJ27tmu,"(esnLQaK0Zh , j3glpRU8iK)",wMpJVkQDS8
DA3I4dAWAv,ATIJEorZFgxN,"(1yypikXgmj , IrDK2brQAH)",RuX7bZLe0z
eEl5H5O31B,ATkPj7SzCvqh,"(0KgOYuYLue , p8AIF6yXFI)",riCAVhlR7y
U8UstJEoif,AU0mOyjpmjaA,"(Cf4UMbLRn6 , 36bNQGXKhX)",cOhswlIuOR
zBweBaOxsW,AU3E6ES5UtXG,"(GKyPzZjIcL , fnJSAKdhUY)",VdCqjSpeM0
sCPYxtp3Bl,AUgAliFOiHFo,"(SrIugZD9Z7 , YiOBZ31Lqx)",N1fYrah4hP
3y6AoMSL7D,AUnER1u4GaER,"(sCdN26wNhd , SEK1kb6kHN)",3bbbCONO0s
fSf3KiTZyq,AU92rkU1JKTv,"(uNCZW14Ji4 , kbtTDnc9Tc)",MqtGVmFJDQ
AP9mNHuV8b,AUSrJwqmoING,"(tuLujZ8ep0 , WrrawaEBiC)",B1AtsyQRER
pWsjRTJPnr,AUovyY7KBvwC,"(bgknkMPGWn , m73n3C7TfH)",VYCHEExZRg
e40kOGSR1K,AU32xZh78X9E,"(WKPu3B0WMJ , 6TubczWEpp)",uk1XrzE3OD
th1jyXwLSW,AUfvq4omcCsO,"(m2I3JZKH9T , wGv30hbaPM)",oD7woFsTZI
G87sAplJUp,AUOssa0Dlmg2,"(DkFhynltqk , n0zSx1d4ws)",ML8ssvL2GV
Cp5NI3x2UA,AVLGBXQiLuuR,"(sWsFBTdsk0 , ngph3iMR4l)",8XeBzcwEfc
vGr9iGqDer,AVEeguVz0OZL,"(67mdahgKmZ , fbnLxTlif3)",sFT20ZjkkM
l3f1zlIFra,AV2AZbC5vM8X,"(BGErCienRn , RHNznde8IL)",jn4tAJ9g47
ZonviiOxpU,AVarA0AEcyRZ,"(itQcKXMuMc , pFHmNsOk0B)",c3vsCRFVhN
qaPH1PQm4P,AVfOQHRIbcLj,"(ANzXfp2kqF , L857Y2T6oC)",eeZaSIPC77
icdEoQl7QE,AVwMEBzJBAeY,"(yhSAubmr0w , jCJFGeoDmL)",QLQHju5bYz
n4trpPh24t,AV8gkqwIj76S,"(ESepm5RRlV , GLDtckUVul)",vWlyczxQqI
MYXf5SZoaq,AVxPke8FhD9H,"(jtrwtsBei0 , 6F5SHgIfhy)",R1FRTJUZTk
TpV7arUPO1,AV5yL7femgqP,"(6QH2x4Lwwi , gRMCuyGB7J)",zyuV5yE0ti
5UZNqHAMsK,AVYkiYR5dK52,"(Z1mUfIpYoc , 5L6HV1T2eu)",uwdl273AQm
46k2aAaEfM,AWPcpVHlgbis,"(Vd0XAabR80 , TwP1cU6XUg)",LxP49wT2Ba
TUqjakKm1i,AW2HFcbVppcy,"(uB54r8UwwT , t5zIT2JcuI)",TGaNkdvi03
Pw066tcGkn,AWYltNBzuLzQ,"(F5CoDOv9jx , cXLK0Vs3rD)",9K8VNYX3GD
prdbpFIn3P,AW5h0usG4S7K,"(PtcsMw5pdo , t7N7OlwunH)",GL0MgnkDia
2wWWjagllP,AWvglZn41n9v,"(3X24ZdegMm , rGMkNhwN9b)",OxW3y8PQ2d
cnNh5yv4IE,AWiwTLFhqXFC,"(hfwR3Iqg5D , 0joXpGW2uc)",OA4i446qtT
d4Oz5qmkpZ,AWm2DH6sGbMy,"(NllPBm2ICN , a7xoK3qMO4)",N0AM6074mW
K9p5zi0RlD,AW0t6EzBX6Hg,"(wZH9eOUMgV , Sm4PWTxTUV)",pNKeQUImYl
szfOZwQHnY,AWS4Fe7oHPuA,"(g97gr6bT1a , JoS56gSKT2)",f37IWBSKDs
7QzhrBhtEU,AWlRg9C6x3Ca,"(87UHmIGsa7 , EI6WWWGfd8)",EKwCkxIq6P
aJSmlW11cK,AXVI6bjU9e67,"(q84QYHjXqI , xDFDnCHLkn)",BkNEPObrmw
8JeFWvlY01,AX1QFQmdR5Mx,"(zblMNMiGks , 3pGMcL3rT9)",Rp3gofpVHh
NpFSv4tthW,AXmO4ohSN1HY,"(LgZMmxcY41 , 9ujcsbUNHR)",1579FBbhcY
gn9wznKqmE,AXtIWvWjGUHX,"(kuLdh5Pvvi , JXoRdmonWD)",NDdUruizMA
FLEM0iXwyj,AXKrSvJAWY7m,"(M4laPaKcUX , J1dt6ZNANT)",ajmAtIGEXv
XCOUXBNCZH,AX38Nl5Pu2Tn,"(Mb4lIpYW3J , K9sPIAoKn5)",8rqUfVrcT3
IAuqmMRjYe,AXVJTbixDcEe,"(CHPGpEkX2E , BkLtGY1myA)",JIV5NIHZnW
f95Ag6nQrR,AXAXtodRVNz4,"(y0XfFYlNGb , OiG1N4Jj0B)",ZR6o6sAnaa
ey3gfHb0W4,AXKMGuARBp0Z,"(JVsryrnWox , K3P3YFvC9P)",BFWD4Wxp0t
