id,entry,lifeStats,sort
dxDfKwzwR0,AFlo4AX9i6a4,"(1eoq3SQkt4 , 1Ww2FUFHbZ)",rVlwdQ03E0
JubCAZMtvI,AFNJZWO0LG9w,"(SZYEuoInLd , lzXgGtMFsS)",gnU9zxi3qm
c64bvlgY3C,AFeN82EtTQAs,"(CqHtyeePdA , 8hvHIf7bFh)",1oKKK4RMiU
W3xlvAG1Mx,AFFF9seUepJH,"(e6VMG5wn44 , FjrT79Duwf)",kmeSZQC2rJ
SdnCcZmQc6,AFJXClEHOchC,"(Sw5ZpBaiUd , jNPjjqyYHx)",GGWl4WqIHZ
deZlJJ1Sz5,AF5ZbXDzZWMC,"(Bgmgd1PNXu , m6zFI5I4zt)",OU0H6mwg5S
F1xWRy7IY6,AF9FZMguNnk2,"(m217Yy0swH , 0CmMoiLvUg)",qh4XFaU9v5
gscNaeTeb6,AF06wUvlxick,"(ClpsrrRwKi , MrdUE7LwyG)",CEQuQWIfU6
jZZS4PUykG,AGrWjCJScAQo,"(maXsVq3djK , Z5XfSILtLC)",7cJuJcav9x
XqUirHL9Pu,AG2qqgNVF9ig,"(unSRmeRMfX , eysPnpyzuv)",Vjux45Uyl2
r6HZzE69IW,AGfouFNVRIBY,"(DoYNNhN2hT , D7E5kXBC1b)",5uZizkeEY5
ZVOMQTCtiA,AGy6wQX5ZQos,"(sY8sanWRdI , 5CWB4leDON)",8YOJ5rJzje
66nlnEJRvX,AGAhxaoZtfXH,"(2HCcOK3rzK , GAF5IDKxMe)",1GsMs15afP
qw6r0JPSro,AGAG30vH2Vfx,"(vPG722ymGZ , TTMhgfGL38)",Hd2ZrvkVY8
eovvNzhKk6,AG7VWXjY1YJm,"(jDuqhxKaQn , OiL3CVHTIp)",T1IBlbSGlU
FoF8QwJiPp,AGe6j1tOMA8H,"(ElG00MkMYi , VUvJvBQ19o)",7kgALQEIIN
DI5WB2RGf6,AG1ILLu43o0R,"(QKs0fNBdQz , BegapV0YPi)",LCkhjvCHsy
q1FIbXT8Mn,AG0lM98rw9RP,"(R7m3wjBu70 , Zuu8FzxFBj)",pgMFsX1kwA
ch021zi08d,AHAzt96uTtdW,"(kczwBXp1h0 , 1h7ISqmXia)",IWwkWlrFeu
F9qNFuxKgA,AHjO076gJfmM,"(x0UaWbDomj , ktyGjLQMMh)",5NrujXxLxj
059IQQ2YE6,AHDOMn47RC4E,"(hJ6cYE9Mtn , QuLTEFe6ZZ)",lYRNmqq2TI
1lj26rDQIS,AHkbD9a33X26,"(tsbDwlJt31 , dtspTAePvs)",rbwoRZDLuV
65012Cpm1C,AH3O7SlyGNoa,"(YyuLv9dqGq , dC28kynkYg)",6OPykSCtvT
C58XRMG54l,AHOMOhlvMcko,"(lj13sjKlE5 , BCYQvvbhu5)",1F7HJAGAhy
Uh0pARYSAH,AHp1ARUnTimY,"(Nsx18LXGyh , vwcbqHMZQn)",0aFxtRPICc
W20Xfb2FSg,AHwWGRMsBPv0,"(7eLDv0sUfB , TwF7YTPw6M)",MRX8p4sRaj
PIqjcLYbYo,AHAsY9iyJjIi,"(DNwdUCNRPQ , AsBQHEeY88)",thP2ybOpcs
PMpewFVreJ,AHJtfxeHYSsW,"(JUiDzjkEJP , 9V3YWlO45f)",ZOFd7jXFBg
pDR2ci2Kb9,AI5avHcapAVZ,"(RrhnK3G6aO , 0sIGXrgKLI)",SwpREEpe2Y
MNdCJW2TGU,AIpzOyiPNjCh,"(sd7CHTbEAC , neaqIvE5WP)",zSszk49fgt
Z0prP2HDKu,AIoQKcS7P3WU,"(t9CuTlJ4Uj , Zemjz8zZD7)",GqAe4ikQss
keDdF5ITok,AIMFs5F9oKz8,"(6cXOiDXRGf , ow7bfC9EPW)",NHszBLgS9L
egoLQu5zRE,AIfvdAr1bncC,"(I5YHHTnxOu , uHXBpJFwaV)",q7oEPXD434
lw0hLRQ8RR,AITzE8mEmVTs,"(fr5SuI9BUM , 5duoKfI1Kl)",xpDAADly1P
awROo7rdEF,AIjJEzBkO0Yn,"(yXD5MNI7rc , f4nzoJD2vB)",YYeJfbIVB2
R0kvRBjXRP,AIjLXMw282We,"(LrkGeYaVie , vBSJZKFpjm)",jEo1ttewR7
l0S9tO5Gix,AIF3cRKU0mzO,"(DNQLSAxUas , cbcvnG6AXm)",RTVC0H7yoD
0I1cQg73Z1,AIS8lMpaz5e2,"(LsSvKzOsfU , 4CH1l2pCSI)",DjqGe8IJbV
QEv8yCyZBN,AJ34z1WLEDz1,"(QUFf6OdpdT , lEYjXDl64E)",3wLdd5xhNd
Bkhh2TC307,AJ7xp1uxmQxW,"(Uu0eRIE5Dv , QlZhDe4nES)",LLCWLkpvjm
tWhpsDB5dd,AJKJjMnMESdf,"(FQrMO3zMpj , zoAgSepuHs)",xDQRRDAIQ3
dzxYjNLncN,AJfdrSXKfU95,"(rLphTcIhG6 , x4MkuhJBEh)",1mH6AaRDU9
RaE5yWUIrI,AJRXY4drDppg,"(2hHbFTGyDY , XpMcz0wg6Z)",bmyTub5gvQ
56K494a3qP,AJECJENNVXk9,"(lF6sHSVEZQ , BGL7VECNfh)",LDVrTEmi7Q
D8s8zrWzw6,AJdmOnYwCyhQ,"(9a2FCiQx17 , i486H5916E)",LeMcZ9S0jB
2zfoxXi2Mh,AJJXTj1yGoqW,"(hvnxBoedeT , t7wKIOr3wf)",wwhkZAvN5z
WgVI3CE2OG,AJESmrQz529W,"(zozOD73Zh2 , LjGeSAHknP)",GUN86Gf5AX
nBIWA0Y5bq,AJJongVDwbKM,"(7kiLh1dW9x , 5EUl0w1Z7F)",ULg70vVFeU
On1I6DBWA2,AKYwE556tc8n,"(dBLROlsYFN , uAQ6zktGqg)",OhnaybFNC4
pKluSIHw06,AKsNVIJ4PLGk,"(XrtyDuu2T9 , l3lbWV0aGc)",qEmwOfw2vC
6Dj5QkIGzk,AKGZuqEW6w8C,"(m8ntGCghv4 , pm8ZwpPDXL)",CreTg16ofb
MCBfoKtCJ1,AK19AD2Qn49A,"(avigOLzc3l , TbnnGB2Ac6)",sqOoN52eiC
R5EPxkO8Ih,AKjWcyDT317B,"(9phDhnXqpI , ABuaxRujiO)",9Iwv6UBpIo
LgcQ8OU4Sc,AKvBtzh5QblS,"(fnMg4mG9jt , FURkZK3y4X)",0eFzlxcC9r
n3FKdjIOl3,AKGx7Eh05613,"(06UTQTv0zY , OWEz2cKZ2Q)",f1Uk0SdwLJ
hPCoywg0xV,AKxwiQ9kIhyZ,"(tOmK3nhA0d , MJcoGXHTG6)",jWDjnjCHPR
a7ryylZyUQ,AK2gFg06K14A,"(Zw1zcBHhpa , 1YgU5mlD4N)",3tVa6yUwV0
WAryZE60jN,AKor09ZlIztW,"(oBERD7jvHA , 1SfVQU6i2W)",22znlcuWgE
x1yhDEyqVl,ALKUrUsUMddZ,"(mfbUGroQnr , hxLvjHdOfI)",Ukob0cnK0S
VJAmfqnJdB,AL88ICnYL7hM,"(xxZsT724i7 , l2eEr8jR5Y)",P3PBv5Es1q
tuCKVMGWJd,ALzHQ1OrOx17,"(lEwo9zjSX1 , rFPKdeKU39)",TpsldPVKQt
5TD2TgZwiG,ALSPnOgPhAiG,"(4zL2tvMziJ , 0AYbuqMQTH)",htq6450mq4
cEEc9M5VFz,ALVfm44Qquas,"(pMrvO6rreG , 3dPfxzkN5T)",spis0b4cUu
byY76rMCp4,ALE3VZYoUHbT,"(Mw3tQ1gb7k , k8cvEpe2Wj)",YN2QMWMT5D
lpXJK9fPC1,ALfq6xKH6vKO,"(vlO1JduSLF , SnSALUrRtR)",wc08MT55pN
1VO12zrD6I,ALFqZr78FJNu,"(dOk2A1u8Do , MKBMLn0BOl)",fCjtDfuvrQ
inJGfusgzg,ALMOUTR0iGi9,"(iTfSL42pX8 , duYu2QDnkM)",Mkkpm9mpgK
6qaXaDCH3w,ALeHru4DtWmU,"(3ujJ77U0E0 , RMXXgbVKkL)",laD0MMmqMt
x6p4l2FOlS,AMPPmE5J21NY,"(jHQSQmpfvQ , sLFZS0p1dI)",cqu6scerPQ
v52xJ7k5qj,AMeecUuuo0NR,"(xrvtxI40Ci , Ds4JJ6AUuY)",OayA39wG17
cLaxph9HVK,AMDgNqmmMNtJ,"(AI4Xc44xaC , kbglio7DmB)",XyN6PnjewZ
KKJ1sGv7yR,AMDfMYi53Ss7,"(Pt45qcsGT5 , xeYUFGsuvP)",ribb0S3Ysk
rVMQx3OHHy,AMGtj1cIgDFT,"(qJhX4Cbpi4 , 3k1j2wjoH1)",Iq0tex082b
dcVSQScV7b,AM9SaoGNYXSH,"(CKNnabloii , BjZVQ13Eev)",IT4iw0Evxh
gaCCwjX1xv,AMJhHVVTqFhZ,"(MYcWYbGHTR , xBkA1d6PfD)",Q3fFcnRphj
0qTVPCgs2D,AM4j0XiRKaxK,"(0kI1B0Atq1 , xE8SnD5IHX)",CDuvOWxWFL
gWYwAR5xIX,AMQfBkA0dVwT,"(eoPMKxClG2 , BsbS7vu8xM)",ulV2EicXPx
gUjatJGRV1,AM6UGOVjNgtZ,"(OrDghPjX8N , l3aDQilPtf)",LxeuHdailO
2roSZvzduy,ANNSOdNqQ7Te,"(Wo1pTm33gU , bagTqyWHNc)",jqhnFwN2iW
hlMuqYdOQ7,AN2PsRYNYnfC,"(BcR8AoaDTG , kUfwscxk9W)",cfLnq89gtx
ayuIqpGdrk,ANImTMOuzaz6,"(RN4a1GvEQC , W5B4s5TUzn)",G4DEvY4QuH
apcoGiAM6G,AN7gJfDyIV9v,"(4Efr41c6g6 , FtPDhE2Gsy)",WyOat47tRK
KrtV7Im5oc,ANm2LUqyHVKe,"(X64g0jYXbK , vckTCwFbxE)",6XOVUFpHn4
cXGDA9uwHg,ANSumksc9WhG,"(TWllq2Esn0 , vuCHaZNdZq)",oWLwqPmxgq
nmms39z5V9,ANaYlycCSmlv,"(ZZcXuKtplr , Z4tsoKas6Q)",7Auh1yNdpH
4WZbt7O40E,ANQZAgeBXqlb,"(WaUSiTQz8j , kQU3MKQQW0)",vVWPpEuihf
xdff0grCN8,ANJAOriyTS3A,"(jBx3rRuPPy , oozQXTTqSC)",ceDQ3HtLTJ
6V6G0yK0PB,ANVlZ65sZ6Mc,"(6qO5m7jrWZ , 4HkJ9RiDAQ)",AW7slbnU0H
hnrVlqhiGx,AOzNnWRffBds,"(ZThLI7bCjw , 60PgLn7MLp)",0OuvAcJfwG
EeDeSV7Axw,AOu01vL4OiTy,"(iQwAk0eTjC , TZJFZWB0eM)",9OEoTNJUVI
aJXSlHQQL1,AOXlU4prPNyA,"(TD1l5lNZLv , zImn9j95cG)",55OK1yTunY
J7JiaHwncB,AO9F6t9alyEb,"(8JLD3KrBiT , fgIG4GHgvK)",C8Ph7bagSl
vPmggULl5o,AOsbR7rwmVYW,"(mKTPU2514t , sdxqX26Gts)",jv6dGRC2QP
fTOxBSvZVQ,AOvoK9vomEVm,"(shXd2qAyXI , 1jn1skgNmE)",MfaQsBWwGs
xFFaDgOW8s,AO7j5kTozazh,"(sabN4Sdxwy , ACVHL1SwzL)",DtKQ8rsoKL
b5PvXD4vov,AOSrPNs5zPz8,"(vKS3l9kVn1 , 4PBOIT8JRo)",zbSVz0PA6F
VDLbvLH026,AOAD0kOWFbF5,"(iAPDl45Xdk , uL2MBRxMv0)",PismJ5S4J7
0YdppxLfDj,AOKfAi8jnFaW,"(MCSIpa5QSg , eGiJraT6xb)",VvaQZxs3Ds
O0jiARApMU,AP4My19haLMO,"(7YETD32MWV , HcBv0qFshU)",SZNULTjArV
v0AyFvB6q4,AP68j6ueQ9zR,"(GY5FXPFkI8 , HgwrVWgFvN)",sSGYWy8FJ9
rhVcUvTJXu,APa275euW6Zf,"(1kA37qspbp , wmHh4wUZvY)",QB9zNnjnY5
ExurGQi38b,AP20CAVEdTYv,"(FsTB7jBybE , wYug1c46fl)",dMIF9NLZBs
SYtYF82wJC,APFeswUsrQQN,"(8HmDsW19KI , GJWBxNslb1)",Y7rjrkv4lq
SGgvw5IRSP,APK8S67vFL8k,"(hW5S5b5bRn , hAUXVIbBYA)",tH5plmAoTF
c2usnRMKWm,APYyA1wONNtb,"(R5KkvqfEHq , jDHuA0evmW)",0Iq06mDBbN
chEkUcqzZI,AP2GLNxBYe5i,"(yPAXnWFR2k , RMi1nlJnN2)",rcStcgwLac
4ye2YoXlPu,APMtACM48bJv,"(Vo2yMpLa4R , hFV9ZH6Gvb)",POypGyHvaP
viuy6MVCtC,AP8XJ4Aifl4g,"(vW9mSuGWCI , 4Fkqb7dNB9)",f3T7oFbN7I
P7OL7DzKRV,AQkw83ZBJwM3,"(tjcdEV8Tnp , DhjFCXr9u8)",u7DyZQHYwq
eSZnSWH12f,AQWQ8VxLAKaQ,"(N521K2szVD , G8P2jPFXj9)",oWZIr4RmBJ
iKjGqji37h,AQYS9Fn13wkS,"(llMdxAVQbz , ik1MlAA0G2)",QqYeM9YVVe
rSXD5IOO1c,AQAQeD4BXrxF,"(6ZPKzoglPa , 3WOJdA81mm)",PoQmjsho0L
Qn9l7DZben,AQtgyL2R2Abd,"(t9g5zxPzqy , sJrq4e96Iq)",ZO9ztcc43U
q9Mpdc2qdl,AQ4F7aw5Xekz,"(g1r8DjmI67 , U5GaBZGFLY)",Zg8PBjgvJA
L0PRYXDdyk,AQ0x2zcrwKrI,"(ZgfL8iYbK0 , FcdJYW3UmK)",ezir2uVNI8
UH4uLTBVxc,AQbeTNGm0PnI,"(YUUceUcQie , nBkJzoUr1x)",OmFY01TwwU
OT2wHHtmUq,AQVq2KUA6g3n,"(ocEQ28YPBt , gTF0fglYUn)",HpVTqkVQN9
l1lm3fPztm,AQ69y6a1dNJG,"(rEBJIzYwXT , L2F0k2G34J)",9FNXch1aDK
jYB0wAL4O2,ARnMjWwd8zF2,"(3pG2PaqyHk , PpyOKR4hE6)",nQ5ahBJCwY
EkOgAJkZxw,ARPYbUuB5TrA,"(joQWnbPzRA , nK864uyLYJ)",GOUCYd5DHT
7r8xWDni8B,ARKiTCJZWHNS,"(z8mUFYexyq , 2j4qePUE8Y)",o9G0GfXnzw
NgDUAgD4Wc,ARfr4ggizjs1,"(dnjl0U3RVH , BRXv2dTSuO)",QwJ4Eu0ujv
3xW7zCBSao,ARbLkkvlH5TN,"(UPtC5vrsYI , NCp370wsme)",V24mlHOiGd
l1fluRCFtK,ARuqIOqEUwRA,"(cGQvNgaM1d , 5xfZ921nDc)",dd0OQPU4Bi
ILJTmk05sn,ARWsZTO1P6Bz,"(Pya7oIk027 , piWMCDuPAz)",EBnEkmPS2V
EbJ120saqq,ARuPcvsO0NTj,"(tE3PjSq1DD , yHfd8LIzcW)",4E2AA5cqnp
01lLG7vzhb,ARoDBX6ysVNy,"(xuZhOJ6ByQ , bo9Srd3jdU)",V9VsmeLX26
ZAw19237RE,ARenHFEhhGBv,"(h7Sd8ggUdc , Q8aqb36GWd)",n0eRt0g2dJ
q4CgnwSXRX,ASj57dlkA9vj,"(0XGhrdldEn , plfaW1WT3Q)",9l9nwr0Fvq
UchcfjSAe9,ASatSS6g6YeJ,"(TRDLo5EC6u , z0NbZS6jox)",hEywVtcAAy
vvpddub6Sx,ASMY6CJmw5xx,"(URXd5zU9pw , j5Vc0CQxzl)",wa4hJJLJIJ
3RiAsjUkvI,ASoxmI36ymFw,"(T2ZrVLxgXV , vodfIxHV5S)",jOivcUjey6
NVpWj6w1nX,ASQwPpw4gBPl,"(x4SgVySa40 , pfGNomZk1i)",0TLbprfNVV
86Mhk1jtPM,ASwpDrvO2kV5,"(MhbS5BvQAd , S2Ov5ssCBn)",0qKi7wxfcI
6Xv5vq6eky,ASbN3c2spzh9,"(R3gPd7Px86 , thzbJrOVe9)",aqKr1qI4Gs
p6vpsiJdyo,ASG8Zf8Y0T8m,"(Ikra2KXjtu , dIf9hrPPOa)",vNAmvm35U2
HeOeP8HZRd,ASiugQY5amX7,"(TFYgXD298J , Jl3oJ5gosg)",4sOS2SlpG9
0nq51KaZJt,ASGMcN1ofw96,"(Q0GpneYqGf , MLZHuCcXWb)",WjlhuebbeU
1R5wGGSLbB,AT9QOea8Par5,"(cwYqqDfLgY , uSHFI9yKhK)",cwYr33Nlb8
BapDQyIyon,ATN13BjSmseu,"(sQcDiN4BIT , F15Cu7OSuO)",5Z5fPT2Sb4
GcrAis4Zze,AT7mbHTC4Uai,"(Zi5vCJ5rGx , cBVeFOy09E)",HjD1qMzvuk
pvlQBEs0EO,ATFEy7ZwFrMt,"(NQjp5bQANy , nHqITVaOMq)",lPaALnlar8
bBuIHADKd2,ATFEQkm8qsF2,"(enhrcsKgfg , xOmfuyGegu)",6QbWtoNO90
Hro26QEW3E,AT28i3PSABQp,"(p33tVJ1aiw , 1wk4YLtNaJ)",uJ3nuOiZsH
eAAm2rNEut,AT227sgJ96fj,"(m15ho0mccR , RJAmvN4skQ)",1cGOyuKuBA
GCAN3htkvx,ATDC48y1y6iq,"(tMHQkTw0we , OmOI4Vh0pP)",JCSwsn92z1
NWU5bfdsHZ,ATrL25whT2jy,"(7mpfEgAtx3 , VYH9yv69y4)",W4Bi4rPj0v
sYrRGhr430,ATXHt8uAYjQn,"(DkNi5bW9eC , OkZAfeJFiy)",5JCDdfCr7h
AJzbVshsrw,AUhpzxXXU3MY,"(208RF5cVwL , zM7VVDmgBU)",JqnNmEbEj0
Y9cwaBm4xh,AUEi260GAVKM,"(fE18OUEeyE , Su2M9eGO1P)",esCIWWCoA7
vvEFwwPzGX,AUEJ2dm3SWa5,"(fmnanak8wp , wu4WgM9rxT)",1RAmcsgTXG
SmanhOBwY0,AUo324NOWl7d,"(dttcss2ztX , 7RVK4YjG12)",nb04mBReC4
56LgPayW7A,AU8xAflLiMV8,"(U7ZO2u3A2H , O90H0Rwu8P)",MHUTjgMQpg
CfSHLdm3tO,AU21J5nayKsf,"(NLBKlytr9S , kNUkqiL6pD)",vSItjiwuQy
NmsWtZLZT4,AUwuL0d1HUqD,"(65msfkcn7i , EMBUVvYs0k)",vIU1c8LS0I
n4YNhvLDJk,AU0OacB7t5Qg,"(ErRKAAFCIL , quqmplR1hd)",hAla3706b8
cEV65GF0Qz,AU6jSRRQC2sa,"(QzfQbycFzU , K3wTxJyB1U)",GqOs3IEPIp
p6wNZI7ZMf,AUlnN76BWJap,"(B0zyra9JnX , VC6anHUaNr)",MBaHhBqJ9F
swxkJIKEzv,AVi03vKCdEGE,"(pxysl7ARj6 , GHW3Wg9oH0)",TCjfA08CYY
QtitXPXBqi,AV8cLg81liuc,"(71pmD9PPvh , pXnblKUjS5)",t5WakqRUeQ
vjA8AMKmRX,AVbQk9WiCOzR,"(UhMHIeb9v4 , Wt0v0NsF3C)",PbN2Hb0VBW
cyCHDpIVoX,AV2A7ju4atta,"(pgZoUcTAH9 , MLKEkm2JdY)",VoESQCEAVW
HfFDbpqvmU,AV5QCx8WZ1yX,"(lET1myVAsp , w4IBGouHAm)",SGX9OqeZkB
xKhaCJAFHp,AViKO46pnsrM,"(EbaOGTymBt , cwplki05eN)",PVmzVfVYay
03YZYti7X6,AV34pZ0xx09t,"(BvL0fOacmJ , wNejDDk2bW)",jAP2y0q6nx
UN6XQ55cit,AV8TGOiL49I2,"(DCnoFmEmSh , BinbLLyBxI)",0DfcmsnPBe
JT8zPuumNx,AVW9Dy33wDqt,"(Zl2xkYov1z , GG1ToAL7rO)",LmWBCU32uC
YG5sJNMNvm,AV6gz709amOi,"(9gx9RYVqrV , MmnCOYTJw8)",2a2OaTAU7V
uFF8sIYN54,AWscnuORZGDz,"(yKCXA4BURL , kc2o6OTMB5)",KMuGHFsaiU
x9VKNvIuYR,AWTlkBnkkvlc,"(GvjUhWATxm , 6rbM9hyAvq)",xxnglONOUg
x6CObDXQAn,AWkbF3S6Ytix,"(uCzFdV6U1y , BMMIZtpduM)",siYlEVgdIE
Y7mwCgTnmm,AWAwhJoqw6Ud,"(FMEfc1a2cy , 9X0XDr6ZHT)",sm4G3p2e3o
g9iS4vZv5M,AWEtzETNUnsO,"(LJlksEykZN , 498w99bn96)",sD6k1TBPko
zy3KSNl5xS,AWHfG5k8zgIO,"(tgk1U7XDfv , VBE2YjQKFV)",ysFMwSLF94
NNQbM3c4Yc,AWQzBgGpahzi,"(4wVCXPgttk , UXQ8ZVqXC9)",qokM8S13sM
ZiAmMc7kvY,AW8cevbpIQHt,"(PW9I6edgtf , g7JHhyyqxY)",wBHZ6Voc2f
D7n2tKEAtc,AWgHCclu0BIB,"(gEpx0JC34S , tkGwyBzRyY)",EJqiRxM9nm
bqiTNB8GSc,AWQhM1C1ucxS,"(whtKzlDGjO , Mh5mNFMnEh)",vHy9AOrkyJ
BONirOD9GA,AXjz1fQxpbBF,"(Ia9gQ3IXZN , O6587txL4h)",wOhildNWkw
d7TVrAMfdf,AXTQkRUogCY8,"(8xn8v2LnbF , gL50vBP0OC)",MJzI1dpEZy
Vc55CpmdSd,AXhLacvNNCM8,"(kMZgslQ7mH , ogTpswXbf4)",0DiR6v2JPj
JJZtyjjwSI,AX5owq05bB1e,"(DyepaRMLMW , PXdPOPWqV0)",to6eEm7bSf
jVGXvdMmst,AXr38RCEiSX6,"(sfRxA9Fq1B , 4ZQrVdYvCU)",Q1NNJGTa97
9wt7jWFg7z,AXCbnswul68L,"(1X551oQEtr , EBzCZ8mQGb)",cPVMWxtEAd
N9iko5VXZa,AXGucuEcHLgB,"(3ZxEgTI6Bl , JsxSpe47er)",9rdLaRQGmI
88YYJLy343,AXITqhmB5fW0,"(MopK60pygt , c3Dw48zKbB)",RyoAvmVLvB
UkdctlRhoA,AXZdI5MINWAw,"(a6IOXRqGYG , k1nDCHfzo2)",pwYUV2SiSy
YFePs2h0Z0,AXfYc4UzrGg1,"(ALHPo6c227 , 5a3yWawUal)",A19Lf58WT4
